attack,method,phase,status,command_count,time_s,cpu_usage_pct,memory_mb
XSS,generated,feature_extraction,success,1,190.5242868750356,106.14178292798937,2077.28125
XSS,generated,model_training,success,1,3.15105250000488,222.05459921690175,466.09375
XSS,generated,model_detection,success,1,0.9616954579250887,493.3803067175968,215.796875
XSS,generated,total,success,3,194.63703483296558,109.93167265604089,2077.28125
XSS,shared_pretrain,feature_extraction,success,1,188.38474741601385,105.79337591481593,2137.75
XSS,shared_pretrain,model_training,success,1,3.361111667007208,224.42667031996066,462.78125
XSS,shared_pretrain,model_detection,success,1,0.720239624963142,642.6584763698431,214.421875
XSS,shared_pretrain,total,success,3,192.4660987079842,109.87415312077889,2137.75
XSS,smote,feature_extraction,success,1,186.42325870797504,105.92824756343143,2082.328125
XSS,smote,model_training,success,1,3.164401249960065,226.464864406511,465.890625
XSS,smote,model_detection,success,1,0.7204669580096379,652.486966645473,215.609375
XSS,smote,total,success,3,190.30812691594474,110.00166119677179,2082.328125
