horizon,target_window_start,target_real_flow_count,generated_flow_count,actual_flow_count,source_flow_count,predicted_packet_mean,predicted_link_bytes_mean,actual_packet_mean,actual_link_bytes_mean,generated_csv,generated_pcap
1,1499262600.0,10293,5147,5147,5147,0.20606209337711334,149.59445190429688,0.22792889177799225,199.97023010253906,<ORIGINAL_PROJECT_ROOT>/comparison_datasets/attack_types/dos/pseudo_future_cosine_stratified_v3/future_window_01_generated.csv,<ORIGINAL_PROJECT_ROOT>/comparison_datasets/attack_types/dos/pseudo_future_cosine_stratified_v3/future_window_01_generated.pcap
2,1499262660.0,6497,3249,3249,3249,0.24670426547527313,168.45912170410156,0.227249413728714,206.91436767578125,<ORIGINAL_PROJECT_ROOT>/comparison_datasets/attack_types/dos/pseudo_future_cosine_stratified_v3/future_window_02_generated.csv,<ORIGINAL_PROJECT_ROOT>/comparison_datasets/attack_types/dos/pseudo_future_cosine_stratified_v3/future_window_02_generated.pcap
