horizon,target_window_start,target_real_flow_count,generated_flow_count,actual_flow_count,source_flow_count,predicted_packet_mean,predicted_link_bytes_mean,actual_packet_mean,actual_link_bytes_mean,generated_csv,generated_pcap
1,1338292500.0,30,15,15,15,0.15079976618289948,19.745206832885742,0.12333333492279053,11.346667289733887,<ORIGINAL_PROJECT_ROOT>/comparison_datasets/attack_types/zeus/pseudo_future_cosine_stratified_v3/future_window_01_generated.csv,<ORIGINAL_PROJECT_ROOT>/comparison_datasets/attack_types/zeus/pseudo_future_cosine_stratified_v3/future_window_01_generated.pcap
2,1338292560.0,28,14,14,14,0.15471403300762177,22.796506881713867,0.08571428805589676,7.885714054107666,<ORIGINAL_PROJECT_ROOT>/comparison_datasets/attack_types/zeus/pseudo_future_cosine_stratified_v3/future_window_02_generated.csv,<ORIGINAL_PROJECT_ROOT>/comparison_datasets/attack_types/zeus/pseudo_future_cosine_stratified_v3/future_window_02_generated.pcap
3,1338292620.0,30,15,15,15,0.15491585433483124,22.96975326538086,0.12333333492279053,11.346667289733887,<ORIGINAL_PROJECT_ROOT>/comparison_datasets/attack_types/zeus/pseudo_future_cosine_stratified_v3/future_window_03_generated.csv,<ORIGINAL_PROJECT_ROOT>/comparison_datasets/attack_types/zeus/pseudo_future_cosine_stratified_v3/future_window_03_generated.pcap
